2026-06-06 11:42:03.540 [info] Starting Excalidraw MCP server...
2026-06-06 11:42:03.970 [debug] Connecting to transport...
2026-06-06 11:42:03.972 [info] Excalidraw MCP server running on stdio
2026-06-08 06:58:49.098 [info] Starting Excalidraw MCP server...
2026-06-08 06:58:49.104 [debug] Connecting to transport...
2026-06-08 06:58:49.106 [info] Excalidraw MCP server running on stdio
2026-06-08 06:58:49.130 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.132 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.133 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.134 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.135 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.136 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.138 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.140 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.141 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.142 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.143 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.144 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.144 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.145 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.145 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.146 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.146 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.147 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.148 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.148 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.149 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.149 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.150 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.150 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.151 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.152 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.152 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.153 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.154 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.155 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.156 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.156 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.157 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.158 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.159 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.159 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.160 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.161 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.161 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.162 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.162 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.163 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.163 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.163 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.164 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.164 [error] Uncaught exception: EPIPE: broken pipe, write
